assoc_idx,sup_idx,Associate,Associate Email,Associate State,Associate License,Associate Availability,Supervisor,Supervisor Email,Supervisor State,Who can you supervise?,Supervisor Availability,Capacity,AvailabilityOverlap,AvailabilityScore,Label,Reason
27,82,Casey Nguyen,casey.nguyen@mail.net,FL,Marriage and Family Therapist,"Monday 12:00 PM, Monday 5:00 PM, Tuesday 8:00 AM, Tuesday 2:30 PM, Tuesday 3:00 PM, Wednesday 1:30 PM, Wednesday 2:30 PM, Thursday 8:00 AM",Skyler Hernandez,skyler.hernandez@example.com,FL,"Social Worker, Marriage and Family Therapist","Monday 1:00 PM, Monday 1:30 PM, Monday 2:30 PM, Monday 3:30 PM, Monday 5:00 PM, Monday 6:00 PM, Tuesday 11:30 AM, Tuesday 2:30 PM, Tuesday 3:30 PM, Wednesday 10:30 AM, Wednesday 2:30 PM, Wednesday 3:30 PM, Thursday 9:00 AM, Thursday 9:30 AM, Thursday 11:30 AM, Friday 11:30 AM, Friday 2:30 PM",4,3,0.7038003276883146,1,good_match
28,94,Morgan Hernandez,morgan.hernandez@sample.org,CA,Marriage and Family Therapist,"Tuesday 10:00 AM, Tuesday 1:00 PM, Wednesday 4:00 PM, Thursday 8:00 AM, Thursday 2:30 PM, Thursday 3:30 PM, Thursday 4:30 PM, Friday 12:00 PM",Emerson Parker,emerson.parker@mail.net,CA,"Marriage and Family Therapist, Counselor, Social Worker","Monday 9:30 AM, Monday 3:30 PM, Monday 4:30 PM, Tuesday 10:00 AM, Tuesday 11:30 AM, Tuesday 12:30 PM, Wednesday 10:00 AM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 11:30 AM, Thursday 1:00 PM, Friday 4:30 PM",6,2,0.643251689534733,1,good_match
29,117,Sam Lee,sam.lee@example.com,AL,Psychologist,"Wednesday 8:00 AM, Wednesday 11:00 AM, Wednesday 2:30 PM, Wednesday 3:00 PM, Thursday 4:00 PM, Thursday 6:00 PM, Friday 5:00 PM, Friday 6:00 PM",Sam Hernandez,sam.hernandez@mail.net,"AL, WV, IN","Social Worker, Psychologist, Counselor","Monday 10:00 AM, Monday 11:30 AM, Monday 12:00 PM, Monday 4:30 PM, Tuesday 9:00 AM, Tuesday 3:30 PM, Wednesday 10:30 AM, Wednesday 1:00 PM, Wednesday 1:30 PM, Wednesday 5:00 PM, Thursday 11:00 AM, Thursday 5:30 PM, Friday 10:30 AM, Friday 12:30 PM, Friday 3:00 PM",5,0,0.6365493603858674,1,good_match
30,50,Elliot Kim,elliot.kim@mail.net,MA,Counselor,"Tuesday 8:30 AM, Tuesday 4:00 PM, Tuesday 5:30 PM, Wednesday 12:00 PM, Wednesday 6:00 PM, Thursday 1:00 PM, Thursday 5:00 PM, Friday 10:00 AM, Friday 1:00 PM",Sam Davis,sam.davis@mail.net,MA,Counselor,"Monday 10:30 AM, Monday 5:30 PM, Tuesday 12:00 PM, Tuesday 5:30 PM, Wednesday 11:00 AM, Wednesday 11:30 AM, Wednesday 1:00 PM, Wednesday 5:00 PM, Thursday 8:00 AM, Thursday 6:00 PM, Friday 8:00 AM, Friday 11:00 AM, Friday 1:30 PM, Friday 3:30 PM, Friday 4:30 PM, Friday 5:30 PM",3,1,0.7001858230674235,1,good_match
30,63,Elliot Kim,elliot.kim@mail.net,MA,Counselor,"Tuesday 8:30 AM, Tuesday 4:00 PM, Tuesday 5:30 PM, Wednesday 12:00 PM, Wednesday 6:00 PM, Thursday 1:00 PM, Thursday 5:00 PM, Friday 10:00 AM, Friday 1:00 PM",Riley Ramirez,riley.ramirez@example.com,"PA, MA",Counselor,"Monday 11:00 AM, Monday 12:00 PM, Monday 3:00 PM, Monday 4:00 PM, Wednesday 10:00 AM, Wednesday 1:30 PM, Wednesday 3:30 PM, Wednesday 5:00 PM, Thursday 9:00 AM, Thursday 10:00 AM, Thursday 2:00 PM, Friday 1:00 PM, Friday 1:30 PM, Friday 3:30 PM",6,1,0.7447107701926755,1,good_match
32,3,Drew Garcia,drew.garcia@mail.net,"VA, IN, NH",Marriage and Family Therapist,"Monday 12:00 PM, Monday 4:30 PM, Tuesday 12:30 PM, Tuesday 1:30 PM, Tuesday 4:30 PM, Wednesday 1:00 PM, Thursday 8:00 AM, Thursday 5:00 PM, Friday 9:00 AM, Friday 10:00 AM, Friday 4:30 PM, Friday 6:00 PM",Taylor Chen,taylor.chen@example.com,IN,"Marriage and Family Therapist, Psychologist, Social Worker","Monday 6:00 PM, Tuesday 11:30 AM, Tuesday 1:00 PM, Tuesday 2:30 PM, Wednesday 11:00 AM, Wednesday 4:30 PM, Thursday 10:30 AM, Thursday 12:00 PM, Thursday 5:00 PM, Friday 9:30 AM, Friday 10:00 AM, Friday 12:30 PM",2,2,0.7926201402552735,0,sampled_negative
32,22,Drew Garcia,drew.garcia@mail.net,"VA, IN, NH",Marriage and Family Therapist,"Monday 12:00 PM, Monday 4:30 PM, Tuesday 12:30 PM, Tuesday 1:30 PM, Tuesday 4:30 PM, Wednesday 1:00 PM, Thursday 8:00 AM, Thursday 5:00 PM, Friday 9:00 AM, Friday 10:00 AM, Friday 4:30 PM, Friday 6:00 PM",Casey Bennett,casey.bennett@example.com,VA,"Social Worker, Marriage and Family Therapist","Monday 12:00 PM, Monday 3:30 PM, Tuesday 10:00 AM, Tuesday 4:30 PM, Tuesday 5:00 PM, Tuesday 5:30 PM, Tuesday 6:00 PM, Wednesday 8:00 AM, Wednesday 10:00 AM, Wednesday 1:00 PM, Wednesday 2:30 PM, Thursday 8:30 AM, Thursday 4:00 PM, Friday 8:00 AM, Friday 8:30 AM, Friday 9:30 AM, Friday 12:00 PM, Friday 1:00 PM",4,3,0.8690650618268145,1,good_match
32,71,Drew Garcia,drew.garcia@mail.net,"VA, IN, NH",Marriage and Family Therapist,"Monday 12:00 PM, Monday 4:30 PM, Tuesday 12:30 PM, Tuesday 1:30 PM, Tuesday 4:30 PM, Wednesday 1:00 PM, Thursday 8:00 AM, Thursday 5:00 PM, Friday 9:00 AM, Friday 10:00 AM, Friday 4:30 PM, Friday 6:00 PM",Elliot Clark,elliot.clark@example.com,"IN, WY, FL","Marriage and Family Therapist, Counselor","Monday 8:00 AM, Monday 4:00 PM, Tuesday 8:30 AM, Tuesday 12:00 PM, Wednesday 11:00 AM, Wednesday 2:30 PM, Thursday 8:00 AM, Thursday 8:30 AM, Thursday 10:30 AM, Friday 11:00 AM, Friday 1:30 PM",4,1,0.6953467569937557,1,good_match
32,75,Drew Garcia,drew.garcia@mail.net,"VA, IN, NH",Marriage and Family Therapist,"Monday 12:00 PM, Monday 4:30 PM, Tuesday 12:30 PM, Tuesday 1:30 PM, Tuesday 4:30 PM, Wednesday 1:00 PM, Thursday 8:00 AM, Thursday 5:00 PM, Friday 9:00 AM, Friday 10:00 AM, Friday 4:30 PM, Friday 6:00 PM",Jordan Moore,jordan.moore@mail.net,NH,"Marriage and Family Therapist, Psychologist, Counselor","Monday 11:30 AM, Monday 12:00 PM, Monday 12:30 PM, Tuesday 3:00 PM, Tuesday 4:30 PM, Wednesday 9:30 AM, Wednesday 3:00 PM, Wednesday 5:00 PM, Thursday 8:30 AM, Thursday 2:00 PM, Thursday 4:30 PM, Friday 4:30 PM",5,3,0.8019250864843867,1,good_match
32,77,Drew Garcia,drew.garcia@mail.net,"VA, IN, NH",Marriage and Family Therapist,"Monday 12:00 PM, Monday 4:30 PM, Tuesday 12:30 PM, Tuesday 1:30 PM, Tuesday 4:30 PM, Wednesday 1:00 PM, Thursday 8:00 AM, Thursday 5:00 PM, Friday 9:00 AM, Friday 10:00 AM, Friday 4:30 PM, Friday 6:00 PM",Elliot Bennett,elliot.bennett@mail.net,NH,"Counselor, Psychologist, Marriage and Family Therapist","Monday 11:00 AM, Monday 12:00 PM, Monday 2:00 PM, Wednesday 8:00 AM, Wednesday 8:30 AM, Wednesday 11:30 AM, Wednesday 1:00 PM, Thursday 12:00 PM, Thursday 2:30 PM, Thursday 4:30 PM, Thursday 5:30 PM, Friday 9:00 AM, Friday 3:30 PM, Friday 4:30 PM",4,4,0.7425019988636745,0,sampled_negative
32,92,Drew Garcia,drew.garcia@mail.net,"VA, IN, NH",Marriage and Family Therapist,"Monday 12:00 PM, Monday 4:30 PM, Tuesday 12:30 PM, Tuesday 1:30 PM, Tuesday 4:30 PM, Wednesday 1:00 PM, Thursday 8:00 AM, Thursday 5:00 PM, Friday 9:00 AM, Friday 10:00 AM, Friday 4:30 PM, Friday 6:00 PM",Rowan Patel,rowan.patel@mail.net,NH,"Marriage and Family Therapist, Counselor","Monday 9:30 AM, Monday 3:00 PM, Monday 4:30 PM, Tuesday 1:00 PM, Tuesday 3:00 PM, Tuesday 5:30 PM, Wednesday 10:00 AM, Wednesday 12:00 PM, Thursday 10:00 AM, Thursday 1:00 PM, Thursday 6:00 PM",5,1,0.7737699038513441,1,good_match
33,5,Skyler Garcia,skyler.garcia@mail.net,NV,Psychologist,"Wednesday 12:30 PM, Wednesday 3:30 PM, Wednesday 5:30 PM, Thursday 10:30 AM, Thursday 1:30 PM, Thursday 2:30 PM",Hayden Moore,hayden.moore@sample.org,NV,"Psychologist, Counselor, Social Worker","Monday 11:00 AM, Monday 1:30 PM, Monday 3:00 PM, Monday 5:30 PM, Monday 6:00 PM, Wednesday 2:00 PM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 4:30 PM, Friday 9:30 AM, Friday 2:00 PM, Friday 4:30 PM",5,0,0.4764405634942786,1,good_match
34,1,Cameron Kim,cameron.kim@mail.net,VT,Psychologist,"Monday 10:00 AM, Monday 1:00 PM, Monday 2:30 PM, Wednesday 10:00 AM, Thursday 10:30 AM, Thursday 2:30 PM, Thursday 5:00 PM, Friday 10:30 AM, Friday 4:30 PM, Friday 5:30 PM",Jamie Garcia,jamie.garcia@example.com,VT,"Psychologist, Social Worker, Counselor","Monday 8:00 AM, Monday 1:30 PM, Monday 2:00 PM, Monday 2:30 PM, Monday 5:30 PM, Monday 6:00 PM, Tuesday 11:00 AM, Tuesday 3:00 PM, Wednesday 8:30 AM, Wednesday 11:00 AM, Wednesday 2:00 PM, Friday 10:30 AM, Friday 2:30 PM, Friday 5:30 PM",4,3,0.7149745920240486,1,good_match
34,26,Cameron Kim,cameron.kim@mail.net,VT,Psychologist,"Monday 10:00 AM, Monday 1:00 PM, Monday 2:30 PM, Wednesday 10:00 AM, Thursday 10:30 AM, Thursday 2:30 PM, Thursday 5:00 PM, Friday 10:30 AM, Friday 4:30 PM, Friday 5:30 PM",Cameron Patel,cameron.patel@example.com,VT,"Psychologist, Social Worker, Marriage and Family Therapist","Monday 4:30 PM, Tuesday 5:30 PM, Wednesday 3:00 PM, Wednesday 4:00 PM, Wednesday 4:30 PM, Thursday 10:00 AM, Thursday 12:00 PM, Thursday 2:30 PM, Friday 8:30 AM, Friday 2:00 PM, Friday 5:00 PM",6,1,0.7339493810658796,1,good_match
34,39,Cameron Kim,cameron.kim@mail.net,VT,Psychologist,"Monday 10:00 AM, Monday 1:00 PM, Monday 2:30 PM, Wednesday 10:00 AM, Thursday 10:30 AM, Thursday 2:30 PM, Thursday 5:00 PM, Friday 10:30 AM, Friday 4:30 PM, Friday 5:30 PM",Kendall Chen,kendall.chen@example.com,VT,Psychologist,"Monday 8:30 AM, Monday 11:00 AM, Monday 3:00 PM, Tuesday 9:00 AM, Tuesday 1:30 PM, Tuesday 3:30 PM, Wednesday 8:30 AM, Wednesday 3:00 PM, Wednesday 5:00 PM, Wednesday 5:30 PM, Thursday 1:00 PM",5,0,0.5540595325046245,1,good_match
35,29,Skyler Rivera,skyler.rivera@example.com,MN,Counselor,"Monday 10:30 AM, Monday 2:30 PM, Wednesday 8:00 AM, Wednesday 12:30 PM, Wednesday 2:30 PM, Thursday 12:30 PM, Thursday 3:30 PM, Thursday 5:30 PM, Friday 9:00 AM, Friday 2:00 PM, Friday 4:30 PM",Peyton Jenkins,peyton.jenkins@sample.org,MN,"Psychologist, Counselor","Monday 9:30 AM, Tuesday 8:00 AM, Tuesday 11:30 AM, Tuesday 2:30 PM, Wednesday 8:30 AM, Wednesday 11:30 AM, Wednesday 12:30 PM, Wednesday 2:30 PM, Wednesday 4:30 PM, Wednesday 6:00 PM, Thursday 11:00 AM, Thursday 3:00 PM, Friday 8:30 AM, Friday 9:00 AM, Friday 12:00 PM, Friday 1:00 PM, Friday 1:30 PM, Friday 5:00 PM",6,3,0.758539840970004,1,good_match
35,67,Skyler Rivera,skyler.rivera@example.com,MN,Counselor,"Monday 10:30 AM, Monday 2:30 PM, Wednesday 8:00 AM, Wednesday 12:30 PM, Wednesday 2:30 PM, Thursday 12:30 PM, Thursday 3:30 PM, Thursday 5:30 PM, Friday 9:00 AM, Friday 2:00 PM, Friday 4:30 PM",Quinn Hernandez,quinn.hernandez@mail.net,"RI, MD, MN",Counselor,"Monday 2:30 PM, Monday 3:00 PM, Tuesday 11:30 AM, Tuesday 3:00 PM, Wednesday 9:00 AM, Wednesday 10:30 AM, Wednesday 5:30 PM, Thursday 12:00 PM, Thursday 1:00 PM, Friday 8:00 AM, Friday 2:30 PM, Friday 5:30 PM",6,1,0.7933517309465823,1,good_match
35,99,Skyler Rivera,skyler.rivera@example.com,MN,Counselor,"Monday 10:30 AM, Monday 2:30 PM, Wednesday 8:00 AM, Wednesday 12:30 PM, Wednesday 2:30 PM, Thursday 12:30 PM, Thursday 3:30 PM, Thursday 5:30 PM, Friday 9:00 AM, Friday 2:00 PM, Friday 4:30 PM",Jordan Ramirez,jordan.ramirez@mail.net,MN,"Counselor, Psychologist","Monday 11:00 AM, Monday 2:00 PM, Monday 2:30 PM, Monday 3:30 PM, Monday 5:00 PM, Monday 6:00 PM, Tuesday 12:30 PM, Tuesday 1:00 PM, Tuesday 2:30 PM, Tuesday 4:00 PM, Tuesday 5:30 PM, Wednesday 11:30 AM, Wednesday 1:30 PM, Wednesday 3:30 PM, Wednesday 4:30 PM, Thursday 12:00 PM, Thursday 3:30 PM, Friday 6:00 PM",6,2,0.7311916455684345,1,good_match
36,28,Reese Garcia,reese.garcia@example.com,IA,Counselor,"Monday 5:30 PM, Wednesday 10:30 AM, Wednesday 12:00 PM, Wednesday 4:30 PM, Thursday 8:30 AM, Thursday 2:00 PM, Friday 9:00 AM, Friday 10:00 AM, Friday 3:00 PM",Taylor Lee,taylor.lee@example.com,IA,"Counselor, Marriage and Family Therapist","Monday 9:00 AM, Monday 11:30 AM, Monday 12:00 PM, Tuesday 10:30 AM, Wednesday 8:00 AM, Wednesday 11:30 AM, Wednesday 1:00 PM, Wednesday 1:30 PM, Wednesday 4:30 PM, Thursday 11:00 AM, Thursday 1:30 PM, Friday 10:30 AM, Friday 3:00 PM",6,2,0.7120032736476546,1,good_match
36,43,Reese Garcia,reese.garcia@example.com,IA,Counselor,"Monday 5:30 PM, Wednesday 10:30 AM, Wednesday 12:00 PM, Wednesday 4:30 PM, Thursday 8:30 AM, Thursday 2:00 PM, Friday 9:00 AM, Friday 10:00 AM, Friday 3:00 PM",Harper Ramirez,harper.ramirez@sample.org,IA,"Counselor, Psychologist, Social Worker","Monday 11:30 AM, Monday 3:30 PM, Tuesday 8:00 AM, Tuesday 3:30 PM, Tuesday 5:00 PM, Wednesday 3:00 PM, Wednesday 4:30 PM, Thursday 12:30 PM, Thursday 2:30 PM, Friday 1:30 PM, Friday 4:30 PM",5,1,0.6026337885847569,1,good_match
36,58,Reese Garcia,reese.garcia@example.com,IA,Counselor,"Monday 5:30 PM, Wednesday 10:30 AM, Wednesday 12:00 PM, Wednesday 4:30 PM, Thursday 8:30 AM, Thursday 2:00 PM, Friday 9:00 AM, Friday 10:00 AM, Friday 3:00 PM",Reese Lopez,reese.lopez@example.com,IA,"Psychologist, Marriage and Family Therapist, Counselor","Monday 8:30 AM, Monday 3:30 PM, Tuesday 2:00 PM, Wednesday 10:30 AM, Wednesday 12:00 PM, Wednesday 4:00 PM, Thursday 10:30 AM, Thursday 1:30 PM, Friday 9:00 AM, Friday 1:30 PM, Friday 4:30 PM",4,3,0.8491856350210059,1,good_match
37,106,Riley Gonzalez,riley.gonzalez@sample.org,NM,Social Worker,"Monday 1:00 PM, Monday 3:00 PM, Monday 5:00 PM, Tuesday 5:00 PM, Wednesday 8:30 AM, Wednesday 9:00 AM, Wednesday 1:30 PM, Friday 12:30 PM",Avery Jenkins,avery.jenkins@mail.net,NM,"Social Worker, Marriage and Family Therapist, Psychologist","Tuesday 8:30 AM, Tuesday 10:30 AM, Tuesday 5:30 PM, Tuesday 6:00 PM, Wednesday 8:30 AM, Wednesday 9:30 AM, Wednesday 11:00 AM, Wednesday 4:00 PM, Wednesday 5:30 PM, Thursday 10:00 AM, Thursday 10:30 AM, Thursday 11:00 AM, Thursday 12:00 PM, Friday 8:00 AM, Friday 9:00 AM, Friday 9:30 AM, Friday 12:00 PM, Friday 3:00 PM",4,1,0.6310913016346826,1,good_match
39,22,Jordan Chen,jordan.chen@sample.org,VA,Social Worker,"Monday 2:30 PM, Tuesday 8:00 AM, Wednesday 8:30 AM, Thursday 5:30 PM, Friday 9:00 AM, Friday 5:00 PM",Casey Bennett,casey.bennett@example.com,VA,"Social Worker, Marriage and Family Therapist","Monday 12:00 PM, Monday 3:30 PM, Tuesday 10:00 AM, Tuesday 4:30 PM, Tuesday 5:00 PM, Tuesday 5:30 PM, Tuesday 6:00 PM, Wednesday 8:00 AM, Wednesday 10:00 AM, Wednesday 1:00 PM, Wednesday 2:30 PM, Thursday 8:30 AM, Thursday 4:00 PM, Friday 8:00 AM, Friday 8:30 AM, Friday 9:30 AM, Friday 12:00 PM, Friday 1:00 PM",4,0,0.785369491937978,1,good_match
41,5,Morgan Martinez,morgan.martinez@example.com,NV,Psychologist,"Tuesday 10:00 AM, Wednesday 2:00 PM, Wednesday 3:30 PM, Thursday 2:00 PM, Thursday 3:30 PM, Friday 1:00 PM",Hayden Moore,hayden.moore@sample.org,NV,"Psychologist, Counselor, Social Worker","Monday 11:00 AM, Monday 1:30 PM, Monday 3:00 PM, Monday 5:30 PM, Monday 6:00 PM, Wednesday 2:00 PM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 4:30 PM, Friday 9:30 AM, Friday 2:00 PM, Friday 4:30 PM",5,1,0.6676715581161663,1,good_match
42,3,Hayden Garcia,hayden.garcia@sample.org,"IN, LA",Social Worker,"Monday 2:30 PM, Monday 3:00 PM, Tuesday 9:00 AM, Tuesday 10:00 AM, Tuesday 2:00 PM, Tuesday 6:00 PM, Wednesday 10:00 AM, Wednesday 4:00 PM, Thursday 10:30 AM, Friday 5:00 PM",Taylor Chen,taylor.chen@example.com,IN,"Marriage and Family Therapist, Psychologist, Social Worker","Monday 6:00 PM, Tuesday 11:30 AM, Tuesday 1:00 PM, Tuesday 2:30 PM, Wednesday 11:00 AM, Wednesday 4:30 PM, Thursday 10:30 AM, Thursday 12:00 PM, Thursday 5:00 PM, Friday 9:30 AM, Friday 10:00 AM, Friday 12:30 PM",2,1,0.6992761351082576,1,good_match
42,117,Hayden Garcia,hayden.garcia@sample.org,"IN, LA",Social Worker,"Monday 2:30 PM, Monday 3:00 PM, Tuesday 9:00 AM, Tuesday 10:00 AM, Tuesday 2:00 PM, Tuesday 6:00 PM, Wednesday 10:00 AM, Wednesday 4:00 PM, Thursday 10:30 AM, Friday 5:00 PM",Sam Hernandez,sam.hernandez@mail.net,"AL, WV, IN","Social Worker, Psychologist, Counselor","Monday 10:00 AM, Monday 11:30 AM, Monday 12:00 PM, Monday 4:30 PM, Tuesday 9:00 AM, Tuesday 3:30 PM, Wednesday 10:30 AM, Wednesday 1:00 PM, Wednesday 1:30 PM, Wednesday 5:00 PM, Thursday 11:00 AM, Thursday 5:30 PM, Friday 10:30 AM, Friday 12:30 PM, Friday 3:00 PM",5,1,0.7149769626621478,1,good_match
43,116,Alex Reed,alex.reed@mail.net,ND,Marriage and Family Therapist,"Monday 3:00 PM, Tuesday 8:30 AM, Wednesday 9:00 AM, Wednesday 9:30 AM, Wednesday 11:30 AM, Wednesday 12:00 PM, Wednesday 4:00 PM, Thursday 2:00 PM, Thursday 3:30 PM, Thursday 4:00 PM",Quinn Brown,quinn.brown@example.com,ND,"Social Worker, Marriage and Family Therapist","Monday 11:30 AM, Monday 1:30 PM, Monday 4:00 PM, Wednesday 1:30 PM, Wednesday 3:30 PM, Wednesday 4:00 PM, Wednesday 6:00 PM, Thursday 9:00 AM, Thursday 12:00 PM, Thursday 12:30 PM, Thursday 1:30 PM, Friday 11:30 AM, Friday 5:30 PM",4,1,0.7154909509703408,1,good_match
44,53,Taylor Davis,taylor.davis@mail.net,MD,Social Worker,"Monday 3:00 PM, Monday 3:30 PM, Monday 4:30 PM, Monday 5:00 PM, Tuesday 9:00 AM, Tuesday 12:30 PM, Tuesday 5:00 PM, Tuesday 5:30 PM, Wednesday 10:30 AM, Thursday 9:00 AM, Friday 10:00 AM",Avery Lopez,avery.lopez@sample.org,MD,Social Worker,"Monday 11:30 AM, Monday 5:00 PM, Tuesday 8:00 AM, Tuesday 8:30 AM, Tuesday 9:00 AM, Tuesday 1:00 PM, Tuesday 4:00 PM, Wednesday 9:30 AM, Wednesday 10:30 AM, Wednesday 1:00 PM, Wednesday 2:30 PM, Thursday 10:00 AM, Thursday 12:30 PM, Friday 9:30 AM, Friday 4:30 PM",5,3,0.7424691945581928,1,good_match
45,84,Finley Rivera,finley.rivera@sample.org,FL,Psychologist,"Tuesday 8:00 AM, Tuesday 8:30 AM, Tuesday 9:00 AM, Wednesday 6:00 PM, Thursday 10:30 AM, Thursday 12:00 PM, Thursday 5:00 PM, Thursday 5:30 PM, Friday 10:00 AM",Logan Lee,logan.lee@sample.org,FL,"Psychologist, Counselor, Social Worker","Monday 9:00 AM, Monday 3:00 PM, Monday 5:30 PM, Tuesday 11:00 AM, Tuesday 1:30 PM, Wednesday 2:00 PM, Thursday 10:00 AM, Thursday 11:30 AM, Thursday 3:00 PM, Friday 12:30 PM, Friday 3:30 PM",4,0,0.6785252798869209,1,good_match
50,53,Peyton Brown,peyton.brown@mail.net,MD,Social Worker,"Monday 1:30 PM, Monday 3:30 PM, Tuesday 12:30 PM, Tuesday 2:00 PM, Wednesday 9:00 AM, Wednesday 3:00 PM, Friday 3:30 PM, Friday 5:30 PM, Friday 6:00 PM",Avery Lopez,avery.lopez@sample.org,MD,Social Worker,"Monday 11:30 AM, Monday 5:00 PM, Tuesday 8:00 AM, Tuesday 8:30 AM, Tuesday 9:00 AM, Tuesday 1:00 PM, Tuesday 4:00 PM, Wednesday 9:30 AM, Wednesday 10:30 AM, Wednesday 1:00 PM, Wednesday 2:30 PM, Thursday 10:00 AM, Thursday 12:30 PM, Friday 9:30 AM, Friday 4:30 PM",5,0,0.7030233769801404,1,good_match
52,67,Peyton Wilson,peyton.wilson@sample.org,RI,Counselor,"Monday 2:00 PM, Tuesday 2:30 PM, Tuesday 4:00 PM, Thursday 9:00 AM, Thursday 1:00 PM, Friday 9:00 AM, Friday 11:00 AM, Friday 6:00 PM",Quinn Hernandez,quinn.hernandez@mail.net,"RI, MD, MN",Counselor,"Monday 2:30 PM, Monday 3:00 PM, Tuesday 11:30 AM, Tuesday 3:00 PM, Wednesday 9:00 AM, Wednesday 10:30 AM, Wednesday 5:30 PM, Thursday 12:00 PM, Thursday 1:00 PM, Friday 8:00 AM, Friday 2:30 PM, Friday 5:30 PM",6,1,0.6996201202327585,1,good_match
52,103,Peyton Wilson,peyton.wilson@sample.org,RI,Counselor,"Monday 2:00 PM, Tuesday 2:30 PM, Tuesday 4:00 PM, Thursday 9:00 AM, Thursday 1:00 PM, Friday 9:00 AM, Friday 11:00 AM, Friday 6:00 PM",Hayden Gonzalez,hayden.gonzalez@mail.net,RI,"Counselor, Psychologist, Marriage and Family Therapist","Tuesday 4:30 PM, Wednesday 8:30 AM, Wednesday 12:00 PM, Wednesday 6:00 PM, Thursday 8:30 AM, Thursday 9:00 AM, Thursday 10:30 AM, Thursday 12:30 PM, Thursday 2:00 PM, Thursday 3:30 PM, Friday 11:00 AM, Friday 1:00 PM",2,2,0.6944494516606678,1,good_match
53,23,Dakota Reed,dakota.reed@example.com,NE,Social Worker,"Monday 4:00 PM, Monday 5:00 PM, Tuesday 1:00 PM, Tuesday 6:00 PM, Thursday 6:00 PM, Friday 10:30 AM, Friday 11:30 AM, Friday 2:30 PM",Jordan Brown,jordan.brown@mail.net,NE,"Psychologist, Marriage and Family Therapist, Social Worker","Monday 8:00 AM, Tuesday 10:30 AM, Tuesday 3:30 PM, Tuesday 4:30 PM, Tuesday 6:00 PM, Wednesday 12:30 PM, Wednesday 2:30 PM, Wednesday 3:00 PM, Wednesday 4:30 PM, Thursday 11:30 AM, Thursday 1:30 PM, Thursday 3:00 PM, Thursday 6:00 PM, Friday 4:00 PM",3,2,0.6823679830566135,1,good_match
54,13,Elliot Gonzalez,elliot.gonzalez@mail.net,GA,Marriage and Family Therapist,"Monday 12:30 PM, Monday 1:30 PM, Wednesday 11:00 AM, Wednesday 12:30 PM, Wednesday 1:30 PM, Wednesday 3:30 PM, Thursday 9:00 AM, Thursday 5:00 PM, Friday 1:30 PM, Friday 3:00 PM, Friday 4:30 PM",Riley Brown,riley.brown@mail.net,GA,Marriage and Family Therapist,"Monday 11:00 AM, Monday 11:30 AM, Monday 1:00 PM, Monday 6:00 PM, Tuesday 5:30 PM, Wednesday 5:30 PM, Thursday 8:30 AM, Thursday 9:00 AM, Thursday 10:00 AM, Thursday 11:00 AM, Thursday 1:30 PM, Friday 1:00 PM, Friday 1:30 PM",2,2,0.6923991707090966,0,sampled_negative
56,76,Hayden Bennett,hayden.bennett@mail.net,CA,Psychologist,"Tuesday 11:00 AM, Tuesday 2:30 PM, Tuesday 3:30 PM, Tuesday 6:00 PM, Wednesday 8:30 AM, Wednesday 2:00 PM, Thursday 8:00 AM",Quinn Reed,quinn.reed@example.com,"CA, TN, CO","Psychologist, Counselor, Social Worker","Monday 11:30 AM, Monday 1:00 PM, Monday 2:30 PM, Monday 5:30 PM, Tuesday 8:30 AM, Tuesday 9:30 AM, Tuesday 6:00 PM, Wednesday 8:30 AM, Wednesday 3:30 PM, Wednesday 5:00 PM, Thursday 8:30 AM, Thursday 1:00 PM, Thursday 3:00 PM, Thursday 5:30 PM, Thursday 6:00 PM, Friday 11:30 AM, Friday 5:30 PM",0,2,0.7237015231740159,0,capacity_full
57,40,Logan Nguyen,logan.nguyen@mail.net,OR,Psychologist,"Monday 9:00 AM, Monday 10:30 AM, Monday 11:00 AM, Monday 2:00 PM, Monday 3:30 PM, Monday 6:00 PM, Wednesday 8:30 AM, Wednesday 4:00 PM, Thursday 4:30 PM, Friday 9:30 AM, Friday 2:30 PM, Friday 4:00 PM",Finley Brown,finley.brown@sample.org,"GA, OR","Social Worker, Psychologist","Tuesday 11:30 AM, Wednesday 11:00 AM, Wednesday 1:30 PM, Thursday 9:30 AM, Thursday 12:00 PM, Thursday 2:30 PM, Thursday 3:00 PM, Thursday 4:00 PM, Friday 2:30 PM, Friday 3:30 PM, Friday 4:30 PM",5,1,0.6492152720070675,1,good_match
